0-Pagina WT,1-Titolo italiano,2-Titolo tedesco,3-DataTrek ID,4-Stag. P18,5-Numero di produzione P1,6-Sequenza di trasmissione P153,7-Data di pubblicazione originale,8-Data P95,9-Serie,10-Istanza P14,11-P178,12-Titolo Wikidata,13-Wikidata ID,14-enMAPage,15-deMAPage,16-itMAPage,17-Produzione Wikidata,18-CheckProduzione
Chain of Command - Part I,Il peso del comando - Prima parte,Geheime Mission auf Celtris Drei I,Q1682,6,236,136,14 dicembre 1992,1992-12-14,Star Trek: The Next Generation,Q10690,10,"Chain of Command, Part I",Q42600297,"Chain of Command, Part I (episode)","Geheime Mission auf Celtris Drei, Teil I",,,KO
Chain of Command - Part II,Il peso del comando - Seconda parte,Geheime Mission auf Celtris Drei II,Q1683,6,237,137,14 dicembre 1992,1992-12-14,Star Trek: The Next Generation,Q10690,11,"Chain of Command, Part II",Q42600301,"Chain of Command, Part II (episode)","Geheime Mission auf Celtris Drei, Teil II",,,KO
Ship in a Bottle,La nave in bottiglia,Das Schiff in der Flasche,Q8231,6,238,138,25 gennaio 1993,1993-01-25,Star Trek: The Next Generation,Q10690,12,Ship in a Bottle,Q6270441,Ship in a Bottle (episode),Das Schiff in der Flasche,,238,
Aquiel,Aquiel,Aquiel,Q529,6,239,139,1 febbraio 1993,1993-02-01,Star Trek: The Next Generation,Q10690,13,Aquiel,Q4782889,Aquiel (episode),Aquiel,,239,
Face of the Enemy,Il volto del nemico,Das Gesicht des Feindes,Q3049,6,240,140,8 febbraio 1993,1993-02-08,Star Trek: The Next Generation,Q10690,14,Face of the Enemy,Q5428381,Face of the Enemy (episode),Das Gesicht des Feindes,,240,
Tapestry,Una seconda opportunità,,Q8869,6,241,141,15 febbraio 1993,1993-02-15,Star Trek: The Next Generation,Q10690,15,Tapestry,Q7684563,Tapestry (episode),Willkommen im Leben nach dem Tode,,241,
Birthright - Part I,La voce del sangue - Prima parte,Der Moment der Erkenntnis I,Q1251,6,242,142,22 febbraio 1993,1993-02-22,Star Trek: The Next Generation,Q10690,16,"Birthright, Part I",Q42600327,"Birthright, Part I (episode)","Der Moment der Erkenntnis, Teil I",,,KO
Birthright - Part II,La voce del sangue - Seconda parte,Der Moment der Erkenntnis II,Q1252,6,243,143,1 marzo 1993,1993-03-01,Star Trek: The Next Generation,Q10690,17,"Birthright, Part II",Q42600331,"Birthright, Part II (episode)","Der Moment der Erkenntnis, Teil II",,,KO
Starship Mine,Complotto a bordo,In der Hand von Terroristen,Q8551,6,244,144,29 marzo 1993,1993-03-29,Star Trek: The Next Generation,Q10690,18,Starship Mine,Q7602421,Starship Mine (episode),In der Hand von Terroristen,,244,
Lessons,Amore e dovere,Der Feuersturm,Q5393,6,245,145,5 aprile 1993,1993-04-05,Star Trek: The Next Generation,Q10690,19,Lessons,Q511593,Lessons (episode),Der Feuersturm,,245,
The Chase,Il segreto della vita,Das fehlende Fragment,Q9080,6,246,146,26 aprile 1993,1993-04-26,Star Trek: The Next Generation,Q10690,20,The Chase,Q7722230,The Chase (episode),Das fehlende Fragment,,246,
Frame of Mind,Schegge di realtà,Phantasie oder Wahrheit,Q3187,6,247,147,3 maggio 1993,1993-05-03,Star Trek: The Next Generation,Q10690,21,Frame of Mind,Q5477914,Frame of Mind (episode),Phantasie oder Wahrheit,,247,
