0-Pagina WT,1-Titolo italiano,2-Titolo tedesco,3-DataTrek ID,4-Stag. P18,5-Numero di produzione P1,6-Sequenza di trasmissione P153,7-Data di pubblicazione originale,8-Data P95,9-Serie,10-Istanza P14,11-P178,12-Titolo Wikidata,13-Wikidata ID,14-enMAPage,15-deMAPage,16-itMAPage,17-Produzione Wikidata,18-CheckProduzione
Progress,Un addio difficile,Mulliboks Mond,Q7292,1,415,15,10 maggio 1993,1993-05-10,Star Trek: Deep Space Nine,Q11337,15,Progress,Q7248535,Progress (episode),Mulliboks Mond,,415,
If Wishes Were Horses,Sogni pericolosi,Die Macht der Phantasie,Q3872,1,416,16,17 maggio 1993,1993-05-17,Star Trek: Deep Space Nine,Q11337,16,If Wishes Were Horses,Q5990802,If Wishes Were Horses (episode),Macht der Phantasie,,416,
The Forsaken,Il cucciolo,Persönlichkeiten,Q9139,1,417,17,24 maggio 1993,1993-05-24,Star Trek: Deep Space Nine,Q11337,17,The Forsaken,Q7734869,The Forsaken (episode),Persönlichkeiten,,417,
Dramatis Personae,Dramma involontario,Meuterei,Q2667,1,418,18,31 maggio 1993,1993-05-31,Star Trek: Deep Space Nine,Q11337,18,Dramatis Personae,Q5305772,Dramatis Personae (episode),Meuterei (Episode),,418,
Duet,Colpevole ad ogni costo,Der undurchschaubare Marritza,Q2700,1,419,19,14 giugno 1993,1993-06-14,Star Trek: Deep Space Nine,Q11337,19,Duet,Q5312248,Duet (episode),Der undurchschaubare Marritza,,419,
In the Hands of the Prophets,Nelle mani dei Profeti,Blasphemie,Q3926,1,420,20,21 giugno 1993,1993-06-21,Star Trek: Deep Space Nine,Q11337,20,In the Hands of the Prophets,Q6012254,In the Hands of the Prophets (episode),Blasphemie (Episode),,420,
The Homecoming,La rivolta: il prigioniero,Die Heimkehr,Q9149,2,421,21,27 settembre 1993,1993-09-27,Star Trek: Deep Space Nine,Q11337,1,The Homecoming,Q12041709,The Homecoming (episode),Die Heimkehr,,421,
The Circle,La rivolta: il cerchio,Der Kreis,Q9085,2,422,22,4 ottobre 1993,1993-10-04,Star Trek: Deep Space Nine,Q11337,2,The Circle,Q12031611,The Circle (episode),Der Kreis,,422,
The Siege (dsn023),La rivolta: l'assedio,Die Belagerung,Q9243,2,423,23,11 ottobre 1993,1993-10-11,Star Trek: Deep Space Nine,Q11337,3,The Siege,Q7764112,The Siege (episode),Die Belagerung,,423,
Invasive Procedures,Il simbionte,Der Symbiont,Q3976,2,424,24,18 ottobre 1993,1993-10-18,Star Trek: Deep Space Nine,Q11337,4,Invasive Procedures,Q6059765,Invasive Procedures (episode),Der Symbiont,,424,
Cardassians,Cardassiani,Die Konspiration,Q1580,2,425,25,25 ottobre 1993,1993-10-25,Star Trek: Deep Space Nine,Q11337,5,Cardassians,Q5038249,Cardassians (episode),Die Konspiration,,425,
Melora,Melora,Das,Q6184,2,426,26,1 novembre 1993,1993-11-01,Star Trek: Deep Space Nine,Q11337,6,Melora,Q12036362,Melora (episode),"Das ""Melora""-Problem",,426,
Rules of Acquisition,Uno strano Ferenghi,Profit oder Partner,Q7904,2,427,27,8 novembre 1993,1993-11-08,Star Trek: Deep Space Nine,Q11337,7,Rules of Acquisition,Q7379022,Rules of Acquisition (episode),Profit oder Partner!,,427,
Necessary Evil,La lista di Vaatrik,Die Ermittlung,Q6614,2,428,28,15 novembre 1993,1993-11-15,Star Trek: Deep Space Nine,Q11337,8,Necessary Evil,Q12041492,Necessary Evil (episode),Die Ermittlung,,428,
Second Sight,Il sogno di Nidell,Rätselhafte Fenna,Q8119,2,429,29,22 novembre 1993,1993-11-22,Star Trek: Deep Space Nine,Q11337,9,Second Sight,Q7443536,Second Sight (episode),Rätselhafte Fenna,,429,
Sanctuary (dsn030),La terra promessa,Das Auge des Universums,Q7996,2,430,30,29 novembre 1993,1993-11-29,Star Trek: Deep Space Nine,Q11337,10,Sanctuary,Q7415701,Sanctuary (episode),Auge des Universums (Episode),,430,
Rivals,Una questione di fortuna,Rivalen,Q7695,2,431,31,3 gennaio 1994,1994-01-03,Star Trek: Deep Space Nine,Q11337,11,Rivals,Q7336981,Rivals (episode),Rivalen,,431,
The Alternate,Il mostro dell'inconscio,Metamorphosen,Q9053,2,432,32,10 gennaio 1994,1994-01-10,Star Trek: Deep Space Nine,Q11337,12,The Alternate,Q7713246,The Alternate (episode),Metamorphosen,,432,
Armageddon Game,Una pace crudele,Das Harvester-Desaster,Q578,2,433,33,31 gennaio 1994,1994-01-31,Star Trek: Deep Space Nine,Q11337,13,Armageddon Game,Q4792566,Armageddon Game (episode),Das Harvester-Desaster,,433,
Whispers,Sospetti,O'Briens Identität,Q10029,2,434,34,7 febbraio 1994,1994-02-07,Star Trek: Deep Space Nine,Q11337,14,Whispers,Q7993981,Whispers (episode),O'Briens Identität,,434,
Paradise,La comunità di Alixus,Das Paradies-Experiment,Q6949,2,435,35,14 febbraio 1994,1994-02-14,Star Trek: Deep Space Nine,Q11337,15,Paradise,Q7134227,Paradise (episode),Das Paradiesexperiment,,435,
Shadowplay,La valle delle illusioni,Die Illusion,Q8171,2,436,36,21 febbraio 1994,1994-02-21,Star Trek: Deep Space Nine,Q11337,16,Shadowplay,Q7460758,Shadowplay (episode),Die Illusion,,436,
Playing God,Il candidato,Der Trill-Kandidat,Q7233,2,437,37,28 febbraio 1994,1994-02-28,Star Trek: Deep Space Nine,Q11337,17,Playing God,Q7203395,Playing God (episode),Der Trill-Kandidat,,437,
Profit and Loss,Un vecchio amore,Profit und Verlust,Q7291,2,438,38,21 marzo 1994,1994-03-21,Star Trek: Deep Space Nine,Q11337,18,Profit and Loss,Q7248298,Profit and Loss (episode),Profit und Verlust,,438,
Blood Oath,Patto di sangue,Der Blutschwur,Q1269,2,439,39,28 marzo 1994,1994-03-28,Star Trek: Deep Space Nine,Q11337,19,Blood Oath,Q4927657,Blood Oath (episode),Der Blutschwur,,439,
The Maquis - Part I,La ribellione - Prima parte,Der Maquis (Teil I),Q9181,2,440,40,25 aprile 1994,1994-04-25,Star Trek: Deep Space Nine,Q11337,20,"The Maquis, Part I",Q42600888,"The Maquis, Part I (episode)","Der Maquis, Teil I",,,KO
The Maquis - Part II,La ribellione - Seconda parte,Der Maquis (Teil II),Q9182,2,441,41,2 maggio 1994,1994-05-02,Star Trek: Deep Space Nine,Q11337,21,"The Maquis, Part II",Q42600893,"The Maquis, Part II (episode)","Der Maquis, Teil II",,,KO
The Wire,Il mistero di Garak,Das Implantat,Q9290,2,442,42,9 maggio 1994,1994-05-09,Star Trek: Deep Space Nine,Q11337,22,The Wire,Q7775217,The Wire (episode),Das Implantat,,442,
Crossover,Attraverso lo specchio,Die andere Seite,Q2090,2,443,43,16 maggio 1994,1994-05-16,Star Trek: Deep Space Nine,Q11337,23,Crossover,Q5188759,Crossover (episode),Die andere Seite,,443,
The Collaborator,Il collaborazionista,Die Wahl des Kai,Q9089,2,444,44,23 maggio 1994,1994-05-23,Star Trek: Deep Space Nine,Q11337,24,The Collaborator,Q7726666,The Collaborator (episode),Die Wahl des Kai,,444,
Tribunal,Il processo,Das Tribunal,Q9629,2,445,45,6 giugno 1994,1994-06-06,Star Trek: Deep Space Nine,Q11337,25,Tribunal,Q12059643,Tribunal (episode),Das Tribunal,,445,
The Jem'Hadar,I Jem'Hadar,Der Plan des Dominion,Q9159,2,446,46,13 giugno 1994,1994-06-13,Star Trek: Deep Space Nine,Q11337,26,The Jem'Hadar,Q7743099,The Jem'Hadar (episode),Der Plan des Dominion,,446,
The Search - Part I,In cerca dei Fondatori - Prima Parte,Die Suche (Teil I),Q9237,3,447,47,26 settembre 1994,1994-09-26,Star Trek: Deep Space Nine,Q11337,1,The Search: Part 1,Q48975459,"The Search, Part I (episode)","Die Suche, Teil I",,,KO
"The Search - Part II",In cerca dei Fondatori - Seconda Parte,Die Suche (Teil II),Q9238,3,448,48,3 ottobre 1994,1994-10-03,Star Trek: Deep Space Nine,Q11337,2,The Search: Part 2,Q48975552,"The Search, Part II (episode)","Die Suche, Teil II",,,KO
The House of Quark,Il casato di Quark,Das Haus des Quark,Q9151,3,449,49,10 ottobre 1994,1994-10-10,Star Trek: Deep Space Nine,Q11337,3,The House of Quark,Q11863377,The House of Quark (episode),Das Haus des Quark,,449,
Equilibrium,Equilibrio perduto,Das Equilibrium,Q2902,3,450,50,17 ottobre 1994,1994-10-17,Star Trek: Deep Space Nine,Q11337,4,Equilibrium,Q5384474,Equilibrium (episode),Das Equilibrium,,450,
Second Skin,Seconda pelle,Die zweite Haut,Q8120,3,451,51,24 ottobre 1994,1994-10-24,Star Trek: Deep Space Nine,Q11337,5,Second Skin,Q7443548,Second Skin (episode),Die zweite Haut,,451,
The Abandoned,Nato per combattere,Der Ausgesetzte,Q9047,3,452,52,31 ottobre 1994,1994-10-31,Star Trek: Deep Space Nine,Q11337,6,The Abandoned,Q7712075,The Abandoned (episode),Der Ausgesetzte,,452,
Civil Defense,Misure di sicurezza,In der Falle,Q1852,3,453,53,7 novembre 1994,1994-11-07,Star Trek: Deep Space Nine,Q11337,7,Civil Defense,Q5124470,Civil Defense (episode),In der Falle,,453,
Meridian,Meridian,Meridian,Q6206,3,454,54,12 novembre 1994,1994-11-12,Star Trek: Deep Space Nine,Q11337,8,Meridian,Q12036402,Meridian (episode),Meridian (Episode),,454,
Defiant,La nave rubata,Defiant,Q2423,3,455,55,21 novembre 1994,1994-11-21,Star Trek: Deep Space Nine,Q11337,9,Defiant,Q5251542,Defiant (episode),Defiant (Episode),,455,
Fascination,Incantesimo d'amore,Das Festival,Q3088,3,456,56,28 novembre 1994,1994-11-28,Star Trek: Deep Space Nine,Q11337,10,Fascination,Q5436666,Fascination (episode),Das Festival,,456,
"Past Tense, Part I",Tempi passati - Prima parte,Gefangen in der Vergangenheit (Teil I),Q6976,3,457,57,2 gennaio 1995,1995-01-02,Star Trek: Deep Space Nine,Q11337,11,"Past Tense, Part I",Q42592844,"Past Tense, Part I (episode)","Gefangen in der Vergangenheit, Teil I",,,KO
"Past Tense, Part II",Tempi passati - Seconda parte,Gefangen in der Vergangenheit (Teil II),Q6977,3,458,58,9 gennaio 1995,1995-01-09,Star Trek: Deep Space Nine,Q11337,12,"Past Tense, Part II",Q42592854,"Past Tense, Part II (episode)","Gefangen in der Vergangenheit, Teil II",,,KO
Life Support,La scelta di Bashir,Der Funke des Lebens,Q5423,3,459,59,30 gennaio 1995,1995-01-30,Star Trek: Deep Space Nine,Q11337,13,Life Support,Q6544989,Life Support (episode),Der Funke des Lebens,,459,
Heart of Stone,Cuore di pietra,Herz aus Stein,Q3719,3,460,60,6 febbraio 1995,1995-02-06,Star Trek: Deep Space Nine,Q11337,14,Heart of Stone,Q5692366,Heart of Stone (episode),Herz aus Stein,,460,
Destiny,La terza profezia,Trekors Prophezeiung,Q2498,3,461,61,13 febbraio 1995,1995-02-13,Star Trek: Deep Space Nine,Q11337,15,Destiny,Q5265257,Destiny (episode),Trekors Prophezeiung (Episode),,461,
Prophet Motive,Scampato pericolo,Das Motiv der Propheten,Q7299,3,462,62,20 febbraio 1995,1995-02-20,Star Trek: Deep Space Nine,Q11337,16,Prophet Motive,Q7250287,Prophet Motive (episode),Das Motiv der Propheten,,462,
Visionary,Visioni future,Der Visionär,Q9908,3,463,63,27 febbraio 1995,1995-02-27,Star Trek: Deep Space Nine,Q11337,17,Visionary,Q7936219,Visionary (episode),Der Visionär,,463,
Distant Voices,Voci interiori,Ferne Stimmen,Q2571,3,464,64,10 aprile 1995,1995-04-10,Star Trek: Deep Space Nine,Q11337,18,Distant Voices,Q5282919,Distant Voices (episode),Ferne Stimmen,,464,
Through the Looking Glass,Sisko nello specchio,Glass Durch den Spiegel,Q9342,3,466,65,17 aprile 1995,1995-04-17,Star Trek: Deep Space Nine,Q11337,19,Through the Looking Glass,Q7798467,Through the Looking Glass (episode),Durch den Spiegel,,466,
Improbable Cause,Attacco ai Fondatori - Prima parte,Der geheimnisvolle Garak (Teil I),Q3916,3,465,66,24 aprile 1995,1995-04-24,Star Trek: Deep Space Nine,Q11337,20,Improbable Cause,Q6007716,Improbable Cause (episode),"Der geheimnisvolle Garak, Teil I",,465,
The Die is Cast,Attacco ai Fondatori - Seconda parte,Der geheiimnisvolle Garak (Teil II),Q9109,3,467,67,1 maggio 1995,1995-05-01,Star Trek: Deep Space Nine,Q11337,21,The Die is Cast,Q7730148,The Die is Cast (episode),"Der geheimnisvolle Garak, Teil II",,467,
Explorers,Il vascello solare,Die Erforscher,Q3033,3,468,68,8 maggio 1995,1995-05-08,Star Trek: Deep Space Nine,Q11337,22,Explorers,Q5421397,Explorers (episode),Die Erforscher,,468,
Family Business,Affari di famiglia,Familienangelegenheiten,Q3072,3,469,69,15 maggio 1995,1995-05-15,Star Trek: Deep Space Nine,Q11337,23,Family Business,Q5433061,Family Business (episode),Familienangelegenheiten,,469,
Shakaar,Shakaar,Shakaar,Q8176,3,470,70,22 maggio 1995,1995-05-22,Star Trek: Deep Space Nine,Q11337,24,Shakaar,Q7462541,Shakaar (episode),Shakaar (Episode),,470,
Facets,Viaggi nella memoria,Facetten,Q3052,3,471,71,12 giugno 1995,1995-06-12,Star Trek: Deep Space Nine,Q11337,25,Facets,Q5428534,Facets (episode),Facetten,,471,
The Adversary,Il vero nemico,Der Widersacher,Q9051,3,472,72,19 giugno 1995,1995-06-19,Star Trek: Deep Space Nine,Q11337,26,The Adversary,Q7712702,The Adversary (episode),Der Widersacher,,472,
"The Way of the Warrior, Part I",La via del guerriero - Prima parte,Der Weg des Kriegers,Q9287,4,473,73,2 ottobre 1995,1995-10-02,Star Trek: Deep Space Nine,Q11337,1,"The Way of the Warrior, Part 1 ",,,,,,KO
"The Way of the Warrior, Part II",La via del guerriero - Seconda parte,Der Weg des Kriegers,Q9288,4,474,74,2 ottobre 1995,1995-10-02,Star Trek: Deep Space Nine,Q11337,2,"The Way of the Warrior, Part 2",,,,,,KO
The Visitor,Il visitatore,Der Besucher,Q9279,4,476,75,9 ottobre 1995,1995-10-09,Star Trek: Deep Space Nine,Q11337,3,The Visitor,Q2890937,The Visitor (episode),Der Besuch,,476,
Hippocratic Oath,Il giuramento di Ippocrate,Der hippokratische Eid,Q3788,4,475,76,16 ottobre 1995,1995-10-16,Star Trek: Deep Space Nine,Q11337,4,Hippocratic Oath,Q5768440,Hippocratic Oath (episode),Der Hippokratische Eid,,475,
Indiscretion,Indiscrezione,Indiskretion,Q3945,4,477,77,23 ottobre 1995,1995-10-23,Star Trek: Deep Space Nine,Q11337,5,Indiscretion,Q6025158,Indiscretion (episode),Indiskretion,,477,
Rejoined,Riuniti,Wiedervereinigt,Q7521,4,478,78,30 ottobre 1995,1995-10-30,Star Trek: Deep Space Nine,Q11337,6,Rejoined,Q2891237,Rejoined (episode),Wiedervereinigt,,478,
Little Green Men,Omini verdi,Kleine grüne Männchen,Q5476,4,480,79,6 novembre 1995,1995-11-06,Star Trek: Deep Space Nine,Q11337,7,Little Green Men,Q81313,Little Green Men (episode),"Kleine, grüne Männchen",,480,
Starship Down,La nave danneggiata,Das Wagnis,Q8550,4,479,80,13 novembre 1995,1995-11-13,Star Trek: Deep Space Nine,Q11337,8,Starship Down,Q7602415,Starship Down (episode),Das Wagnis (DS9),,479,
The Sword of Kahless,La spada di Kahless,Das Schwert des Kahless,Q9259,4,481,81,20 novembre 1995,1995-11-20,Star Trek: Deep Space Nine,Q11337,9,The Sword of Kahless,Q7767762,The Sword of Kahless (episode),Das Schwert des Kahless,,481,
Our Man Bashir,"Bashir, Julian Bashir",Unser Mann Bashir,Q6906,4,482,82,27 novembre 1995,1995-11-27,Star Trek: Deep Space Nine,Q11337,10,Our Man Bashir,Q7111082,Our Man Bashir (episode),Unser Mann Bashir,,482,
Homefront,Il nemico tra noi,Die Front,Q3804,4,483,83,1 gennaio 1996,1996-01-01,Star Trek: Deep Space Nine,Q11337,11,Homefront,Q602612,Homefront (episode),Die Front,,483,
Paradise Lost,Paradiso perduto,Das verlorene Paradies,Q6950,4,484,84,8 gennaio 1996,1996-01-08,Star Trek: Deep Space Nine,Q11337,12,Paradise Lost,Q1027888,Paradise Lost (episode),Das verlorene Paradies,,484,
Crossfire,Fuoco incrociato,Emotionen,Q2089,4,485,85,15 gennaio 1996,1996-01-15,Star Trek: Deep Space Nine,Q11337,13,Crossfire,Q1027877,Crossfire (episode),Emotionen,,485,
Return to Grace,Ritorno alla gloria,Zu neuer Würde,Q7571,4,486,86,5 febbraio 1996,1996-02-05,Star Trek: Deep Space Nine,Q11337,14,Return to Grace,Q1092502,Return to Grace (episode),Zu neuer Würde,,486,
Sons of Mogh,I figli di Mogh,Die Söhne des Mogh,Q8354,4,487,87,12 febbraio 1996,1996-02-12,Star Trek: Deep Space Nine,Q11337,15,Sons of Mogh,Q7562328,Sons of Mogh (episode),Die Söhne von Mogh,,48,KO
Bar Association,Il sindacato,Der Streik,Q975,4,488,88,19 febbraio 1996,1996-02-19,Star Trek: Deep Space Nine,Q11337,16,Bar Association,Q4857904,Bar Association (episode),Der Streik,,488,
Accession,I due emissari,Die Übernahme,Q182,4,489,89,26 febbraio 1996,1996-02-26,Star Trek: Deep Space Nine,Q11337,17,Accession,Q4672505,Accession (episode),Die Übernahme,,489,
Rules of Engagement (dsn090),Le regole del combattimento,Das Gefecht,Q7905,4,490,90,9 aprile 1996,1996-04-09,Star Trek: Deep Space Nine,Q11337,18,Rules of Engagement,Q7379029,Rules of Engagement (episode),Das Gefecht,,490,
Hard Time,Tempi difficili,Strafzyklen,Q3658,4,491,91,16 aprile 1996,1996-04-16,Star Trek: Deep Space Nine,Q11337,19,Hard Time,Q5655423,Hard Time (episode),Strafzyklen,,491,
Shattered Mirror,Lo specchio infranto,Der zerbrochene Spiegel,Q8199,4,492,92,23 aprile 1996,1996-04-23,Star Trek: Deep Space Nine,Q11337,20,Shattered Mirror,Q7490705,Shattered Mirror (episode),Der zerbrochene Spiegel,,492,
The Muse,La musa,Die Muse,Q9192,4,493,93,30 aprile 1996,1996-04-30,Star Trek: Deep Space Nine,Q11337,21,The Muse,Q7752695,The Muse (episode),Die Muse (DS9),,493,
For the Cause,Per la causa,In eigener Sache,Q3172,4,494,94,6 maggio 1996,1996-05-06,Star Trek: Deep Space Nine,Q11337,22,For the Cause,Q5467020,For the Cause (episode),In eigener Sache,,494,
To the Death,Fino alla morte,Die Abtrünnigen,Q9424,4,496,95,13 maggio 1996,1996-05-13,Star Trek: Deep Space Nine,Q11337,23,To the Death,Q7811250,To the Death (episode),Die Abtrünnigen,,495,KO
The Quickening,La piaga,Hoffnung,Q9223,4,495,96,20 maggio 1996,1996-05-20,Star Trek: Deep Space Nine,Q11337,24,The Quickening,Q7759084,The Quickening (episode),Hoffnung (Episode),,495,
Body Parts,Parti del corpo,Quarks Schicksal,Q1302,4,497,97,10 giugno 1996,1996-06-10,Star Trek: Deep Space Nine,Q11337,25,Body Parts,Q4936845,Body Parts (episode),Quarks Schicksal,,497,
Broken Link,Legame spezzato,Das Urteil,Q1439,4,498,98,17 giugno 1996,1996-06-17,Star Trek: Deep Space Nine,Q11337,26,Broken Link,Q4973426,Broken Link (episode),Das Urteil (DS9),,498,
Apocalypse Rising,Inizia l'apocalisse,Die Apokalypse droht,Q522,5,499,99,30 settembre 1996,1996-09-30,Star Trek: Deep Space Nine,Q11337,1,Apocalypse Rising,Q4780087,Apocalypse Rising (episode),Die Apokalypse droht,,499,
The Ship,La nave,Das Schiff,Q9241,5,500,100,7 ottobre 1996,1996-10-07,Star Trek: Deep Space Nine,Q11337,2,The Ship,Q7763836,The Ship (episode),Das Schiff,,500,
Looking for par'Mach in All the Wrong Places,Cercando il par'Mach in tutti i posti sbagliati,Gefährliche Liebschaften,Q5504,5,501,101,14 ottobre 1996,1996-10-14,Star Trek: Deep Space Nine,Q11337,3,Looking for par'Mach in All the Wrong Places,Q6675418,Looking for par'Mach in All the Wrong Places (episode),Gefährliche Liebschaften,,501,
Nor the Battle to the Strong,Né la battaglia è vinta dal più forte,Die Schlacht um Ajilon Prime,Q6738,5,502,102,21 ottobre 1996,1996-10-21,Star Trek: Deep Space Nine,Q11337,4,…Nor the Battle to the Strong,Q4545107,Nor the Battle to the Strong (episode),Die Schlacht um Ajilon Prime,,502,
The Assignment,L'incarico,Die Erpressung,Q9063,5,504,103,29 ottobre 1996,1996-10-29,Star Trek: Deep Space Nine,Q11337,5,The Assignment,Q7714714,The Assignment (episode),Die Erpressung,,504,
Trials and Tribble-ations,Processi e tribol-azioni,Immer die Last mit den Tribbles,Q9624,5,503,104,4 novembre 1996,1996-11-04,Star Trek: Deep Space Nine,Q11337,6,Trials and Tribble-ations,Q2158401,Trials and Tribble-ations (episode),Immer die Last mit den Tribbles,,503,
Let He Who is Without Sin...,Colui che è senza peccato...,Die Reise nach Risa,Q5395,5,505,105,11 novembre 1996,1996-11-11,Star Trek: Deep Space Nine,Q11337,7,Let He Who is Without Sin...,Q6532683,Let He Who Is Without Sin... (episode),Die Reise nach Risa,,505,
Things Past,Cose dal passato,Die Schuld,Q9311,5,506,106,18 novembre 1996,1996-11-18,Star Trek: Deep Space Nine,Q11337,8,Things Past,Q7784383,Things Past (episode),Die Schuld,,506,
The Ascent,La scalata,Der Aufstieg,Q9060,5,507,107,25 novembre 1996,1996-11-25,Star Trek: Deep Space Nine,Q11337,9,The Ascent,Q7714639,The Ascent (episode),Der Aufstieg,,507,
Rapture,Estasi,Heilige Visionen,Q7451,5,508,108,30 dicembre 1996,1996-12-30,Star Trek: Deep Space Nine,Q11337,10,Rapture,Q7294386,Rapture (episode),Heilige Visionen,,508,
The Darkness and the Light,Le tenebre e la luce,Dunkelheit und Licht,Q9101,5,509,109,6 gennaio 1997,1997-01-06,Star Trek: Deep Space Nine,Q11337,11,The Darkness and the Light,Q7729055,The Darkness and the Light (episode),Dunkelheit und Licht,,509,
The Begotten,Nascite,Das Baby,Q9067,5,510,110,27 gennaio 1997,1997-01-27,Star Trek: Deep Space Nine,Q11337,12,The Begotten,Q7716357,The Begotten (episode),Das Baby,,511,KO
For the Uniform,Per l'uniforme,Für die Uniform,Q3173,5,511,111,16 febbraio 1997,1997-02-16,Star Trek: Deep Space Nine,Q11337,13,For the Uniform,Q5467149,For the Uniform (episode),Für die Uniform,,511,
In Purgatory's Shadow,All'ombra del purgatorio,Der Schatten der Hölle,Q3923,5,512,112,23 febbraio 1997,1997-02-23,Star Trek: Deep Space Nine,Q11337,14,In Purgatory's Shadow,Q6010490,In Purgatory's Shadow (episode),Die Schatten der Hölle,,512,
By Inferno's Light,Alla luce dell'inferno,Im Lichte des Infernos,Q1510,5,513,113,2 marzo 1997,1997-03-02,Star Trek: Deep Space Nine,Q11337,15,By Inferno's Light,Q5003795,By Inferno's Light (episode),Im Lichte des Infernos,,513,
"Doctor Bashir, I Presume","Il Dottor Bashir, suppongo",Dr. Bashirs Geheimnis,Q2583,5,514,114,9 marzo 1997,1997-03-09,Star Trek: Deep Space Nine,Q11337,16,"Doctor Bashir, I Presume?",Q5287295,"Doctor Bashir, I Presume (episode)",Dr. Bashirs Geheimnis,,514,
A Simple Investigation,Una semplice indagine,Der Datenkristall,Q158,5,515,115,13 aprile 1997,1997-04-13,Star Trek: Deep Space Nine,Q11337,17,A Simple Investigation,Q4659524,A Simple Investigation (episode),Der Datenkristall,,515,
Business as Usual,I soliti affari,Kriegsgeschäfte,Q1507,5,516,116,20 aprile 1997,1997-04-20,Star Trek: Deep Space Nine,Q11337,18,Business as Usual,Q5001844,Business as Usual (episode),Kriegsgeschäfte,,516,
Ties of Blood and Water,Legami di sangue e d'acqua,Die Überwindung,Q9351,5,517,117,27 aprile 1997,1997-04-27,Star Trek: Deep Space Nine,Q11337,19,Ties of Blood and Water,Q7801142,Ties of Blood and Water (episode),Die Überwindung,,517,
Ferengi Love Songs,Canzoni d'amore ferengi,Liebe und Profit,Q3115,5,518,118,4 maggio 1997,1997-05-04,Star Trek: Deep Space Nine,Q11337,20,Ferengi Love Songs,Q5444067,Ferengi Love Songs (episode),Liebe und Profit,,518,
Soldiers of the Empire,Soldati dell'Impero,Martoks Ehre,Q8335,5,519,119,11 maggio 1997,1997-05-11,Star Trek: Deep Space Nine,Q11337,21,Soldiers of the Empire,Q7557432,Soldiers of the Empire (episode),Martoks Ehre,,519,
Children of Time,Figli del tempo,Kinder der Zeit,Q1762,5,520,120,18 maggio 1997,1997-05-18,Star Trek: Deep Space Nine,Q11337,22,Children of Time,Q5098503,Children of Time (episode),Kinder der Zeit,,520,
