"English Title","German Title","Italian Title"
"10th century",,
11001001,,
"11001001 (episode)",11001001,
"11001001 (podcast)",,
1159,,
11:59,,
"11:59 (ML) (podcast)",,
"11:59 (episode)","23 Uhr 59",
"11 April","11. April","11 aprile"
"11 August","11. August","11 agosto"
"11 December","11. Dezember","11 dicembre"
"11 February","11. Februar","11 febbraio"
"11 January","11. Januar","11 gennaio"
"11 July","11. Juli","11 luglio"
"11 June","11. Juni","11 giugno"
"11 Leonis Minoris","11 Leonis Minoris",
"11 March","11. März","11 marzo"
"11 May","11. Mai","11 maggio"
"11 November","11. November","11 novembre"
"11 October","11. Oktober","11 ottobre"
"11 September","11. September","11 settembre"
"11th Avenue",,
"11th Street",,
"11th century",,
"12,000 years ago",,
12091,,
122,,
"123 Mission Street",,
"123rd century",,
"12 April","12. April","12 aprile"
"12 August","12. August","12 agosto"
"12 December","12. Dezember","12 dicembre"
"12 February","12. Februar","12 febbraio"
"12 January","12. Januar","12 gennaio"
"12 July","12. Juli","12 luglio"
"12 June","12. Juni","12 giugno"
"12 March","12. März","12 marzo"
"12 May","12. Mai","12 maggio"
"12 November","12. November","12 novembre"
"12 October","12. Oktober","12 ottobre"
"12 September","12. September","12 settembre"
"12th Avenue",,
"12th Sphere",,
"12th century","Frühe Geschichte#12. Jahrhundert",
"12th sphere",,
1334,,
"13 April","13. April","13 aprile"
"13 August","13. August","13 agosto"
"13 December","13. Dezember","13 dicembre"
"13 February","13. Februar","13 febbraio"
"13 January","13. Januar","13 gennaio"
"13 July","13. Juli","13 luglio"
"13 June","13. Juni","13 giugno"
"13 March","13. März","13 marzo"
"13 May","13. Mai","13 maggio"
"13 November","13. November","13 novembre"
"13 October","13. Oktober","13 ottobre"
"13 September","13. September","13 settembre"
"13th century","Frühe Geschichte#13. Jahrhundert",
"145th and Lennox",,
1473,,
1484,,
1485,,
1489,,
"14 April","14. April","14 aprile"
"14 August","14. August","14 agosto"
"14 Beta 7","14 Beta 7",
"14 December","14. Dezember","14 dicembre"
"14 Degrees East",,
"14 February","14. Februar","14 febbraio"
"14 January","14. Januar","14 gennaio"
"14 July","14. Juli","14 luglio"
"14 June","14. Juni","14 giugno"
"14 March","14. März","14 marzo"
"14 May","14. Mai","14 maggio"
"14 November","14. November","14 novembre"
"14 October","14. Oktober","14 ottobre"
"14 September","14. September","14 settembre"
"14th century",,
"15,000 years ago",,
1543,,
1588,,
"15 April","15. April","15 aprile"
"15 August","15. August","15 agosto"
"15 December","15. Dezember","15 dicembre"
"15 February","15. Februar","15 febbraio"
"15 January","15. Januar","15 gennaio"
"15 July","15. Juli","15 luglio"
"15 June","15. Juni","15 giugno"
"15 March","15. März","15 marzo"
"15 May","15. Mai","15 maggio"
"15 November","15. November","15 novembre"
"15 October","15. Oktober","15 ottobre"
"15 Sagittae",,
"15 September","15. September","15 settembre"
"15th century","Frühe Geschichte#15. Jahrhundert","Medioevo#XV secolo"
1610,,
1647,,
1680,,
1690,,
1691,,
"16 April","16. April","16 aprile"
"16 August","16. August","16 agosto"
"16 December","16. Dezember","16 dicembre"
"16 February","16. Februar","16 febbraio"
"16 January","16. Januar","16 gennaio"
"16 July","16. Juli","16 luglio"
"16 June","16. Juni","16 giugno"
"16 March","16. März","16 marzo"
"16 May","16. Mai","16 maggio"
"16 November","16. November","16 novembre"
"16 October","16. Oktober","16 ottobre"
"16 September","16. September","16 settembre"
"16 billion years ago",,
"16th century","Frühe Geschichte#16. Jahrhundert",
1705,,
1738,,
1743,,
1761,,
1781,,
1786,,
1790,,
1799,,
"17 April","17. April","17 aprile"
"17 August","17. August","17 agosto"
"17 December","17. Dezember","17 dicembre"
"17 February","17. Februar","17 febbraio"
"17 January","17. Januar","17 gennaio"
"17 July","17. Juli","17 luglio"
"17 June","17. Juni","17 giugno"
"17 March","17. März","17 marzo"
"17 May","17. Mai","17 maggio"
"17 November","17. November","17 novembre"
"17 October","17. Oktober","17 ottobre"
"17 September","17. September","17 settembre"
"17th century","17. Jahrhundert","XVII secolo"
1800,,
1805,,
1811,,
1822,,
1835,,
1836,,
1840,,
1846,,
1849,,
1850s,,
1852,,
1860,,
1860s,,
1861,,
1862,,
1863,,
1864,,
1865,,
1873,,
1880,,
1881,,
1885,,
1889,,
"1889 V",,
1890s,,
"1892 III Holmes",,
"1892 V",,
1893,,
"18 April","18. April","18 aprile"
"18 August","18. August","18 agosto"
"18 December","18. Dezember","18 dicembre"
"18 February","18. Februar","18 febbraio"
"18 January","18. Januar","18 gennaio"
"18 July","18. Juli","18 luglio"
"18 June","18. Juni","18 giugno"
"18 March","18. März","18 marzo"
"18 May","18. Mai","18 maggio"
"18 November","18. November","18 novembre"
"18 October","18. Oktober","18 ottobre"
"18 September","18. September","18 settembre"
"18th century","18. Jahrhundert","XVIII secolo"
1900,1900,1900
1900s,1900er,"Anni 1900"
1901,1901,1901
1902,1902,1902
1903,1903,1903
1904,1904,1904
1905,1905,1905
1906,1906,1906
1907,1907,1907
1908,1908,1908
1909,1909,1909
1910,1910,1910
1910s,1910er,"Anni 1910"
1911,1911,1911
1912,1912,1912
1913,1913,1913
1914,1914,1914
1915,1915,1915
1916,1916,1916
1917,1917,1917
1918,1918,1918
1919,1919,1919
1920,1920,1920
1920s,1920er,"Anni 1920"
1921,1921,1921
1922,1922,1922
1923,1923,1923
1924,1924,1924
1925,1925,1925
1926,1926,1926
1927,1927,1927
1928,1928,1928
1929,1929,1929
1930,1930,1930
1930s,1930er,"Anni 1930"
1931,1931,1931
1932,1932,1932
1933,1933,1933
1934,1934,1934
1935,1935,1935
1936,1936,1936
1937,1937,1937
1938,1938,1938
1939,1939,1939
1940,1940,1940
1940s,1940er,"Anni 1940"
1941,1941,1941
1942,1942,1942
1943,1943,1943
1944,1944,1944
1945,1945,1945
1946,1946,1946
1947,1947,1947
1948,1948,1948
1949,1949,1949
1950,1950,1950
1950s,1950er,"Anni 1950"
1951,1951,1951
1952,1952,1952
1953,1953,1953
1954,1954,1954
1955,1955,1955
1956,1956,1956
1957,1957,1957
1958,1958,1958
1959,1959,1959
1960,1960,1960
1960s,1960er,"Anni 1960"
1961,1961,1961
1962,1962,1962
1963,1963,1963
1964,1964,1964
"1964 (production)",,"Produzioni del 1964"
1965,1965,1965
"1965 (production)",,"Produzioni del 1965"
1966,1966,1966
"1966 (production)",,"Produzioni del 1966"
1967,1967,1967
"1967 (production)",,"Produzioni del 1967"
1968,1968,
"1968 (production)",,"Produzioni del 1968"
1969,1969,
"1969 (production)",,"Produzioni del 1969"
1970,1970,
"1970 (production)",,"Produzioni del 1970"
1970s,1970er,"Anni 1970"
1971,1971,
1971/4860.2,,
"1971 (production)",,"Produzioni del 1971"
1972,1972,
"1972 (production)",,"Produzioni del 1972"
1973,1973,1973
"1973 (production)",,"Produzioni del 1973"
1974,1974,
"1974 (production)",,"Produzioni del 1974"
1975,1975,
"1975 (production)",,"Produzioni del 1975"
1976,1976,
"1976 (production)",,"Produzioni del 1976"
1977,1977,1977
"1977 (production)",,"Produzioni del 1977"
1978,1978,
"1978 (production)",,"Produzioni del 1978"
1979,1979,1979
"1979 (production)",,"Produzioni del 1979"
1980,1980,1980
"1980 (production)",,"Produzioni del 1980"
1980s,1980er,"Anni 1980"
1981,1981,1981
"1981 (production)",,"Produzioni del 1981"
1982,1982,1982
"1982 (production)",,"Produzioni del 1982"
1983,1983,1983
"1983 (production)",,"Produzioni del 1983"
1984,1984,1984
"1984 (production)",,"Produzioni del 1984"
1985,1985,1985
"1985 (production)",,"Produzioni del 1985"
1986,1986,1986
"1986 (production)",,"Produzioni del 1986"
1987,1987,1987
"1987 (production)",,"Produzioni del 1987"
1988,1988,1988
"1988 (production)",,"Produzioni del 1988"
1989,1989,1989
"1989 (production)",,"Produzioni del 1989"
1990,1990,1990
"1990 (production)",,"Produzioni del 1990"
1990s,1990er,"Anni 1990"
1991,1991,1991
"1991 (production)",,"Produzioni del 1991"
1992,1992,1992
"1992 (production)",,"Produzioni del 1992"
1993,1993,1993
"1993 (production)",,"Produzioni del 1993"
1994,1994,1994
"1994 (production)",,"Produzioni del 1994"
1995,1995,1995
"1995 (production)",,"Produzioni del 1995"
1996,1996,1996
"1996 (production)",,"Produzioni del 1996"
1997,1997,1997
"1997 (production)",,"Produzioni del 1997"
1998,1998,1998
"1998 (production)",,"Produzioni del 1998"
1999,1999,1999
"1999 (production)",,"Produzioni del 1999"
"19 April","19. April","19 aprile"
"19 August","19. August","19 agosto"
"19 December","19. Dezember","19 dicembre"
"19 February","19. Februar","19 febbraio"
"19 January","19. Januar","19 gennaio"
"19 July","19. Juli","19 luglio"
"19 June","19. Juni","19 giugno"
"19 March","19. März","19 marzo"
"19 May","19. Mai","19 maggio"
"19 November","19. November","19 novembre"
"19 October","19. Oktober","19 ottobre"
"19 September","19. September","19 settembre"
"19th century","19. Jahrhundert","XIX secolo"
"1 April","1. April","1 aprile"
"1 August","1. August","1 agosto"
"1 Cal Plaza",,
"1 Centauri",,
"1 December","1. Dezember","1 dicembre"
"1 February","1. Februar","1 febbraio"
"1 January","1. Januar","1 gennaio"
"1 July","1. Juli","1 luglio"
"1 June","1. Juni","1 giugno"
"1 March","1. März","1 marzo"
"1 May","1. Mai","1 maggio"
"1 November","1. November","1 novembre"
"1 October","1. Oktober","1 ottobre"
"1 September","1. September","1 settembre"
"1 billion years ago",,
"1 million years ago",,
"1st century",,
"1st century BC",,
"1st millennium AD",,
"1st millennium BC",,
"2-XL Robot",,
"20,000 Leagues Under the Sea",,
"20,000 years ago",,
"200,000 years ago",,
2000,2000,
"2000 (production)",,"Produzioni del 2000"
2000s,2000er,"Anni 2000"
2001,2001,
"2001 (production)",,"Produzioni del 2001"
2002,2002,2002
"2002 (production)",,"Produzioni del 2002"
2003,2003,
"2003 (production)",,"Produzioni del 2003"
2004,2004,
"2004 (production)",,"Produzioni del 2004"
2005,2005,
"2005 (production)",,"Produzioni del 2005"
2006,2006,
"2006 (production)",,"Produzioni del 2006"
2007,2007,
"2007 (production)",,"Produzioni del 2007"
2008,2008,2008
"2008 (production)",,"Produzioni del 2008"
2009,2009,2009
"2009 (production)",,"Produzioni del 2009"
2010,2010,2010
"2010 (production)",,
2010s,2010er,
2011,2011,2011
"2011 (production)",,
2012,2012,
"2012 (production)",,
2013,2013,
"2013 (production)",,
2014,2014,
"2014 (production)",,
2015,2015,
"2015 (production)",,
2016,2016,
"2016 (production)",,
2017,2017,
"2017 (production)",,
2018,2018,
"2018 (production)",,
2019,2019,
"2019 (production)",,
2020,2020,
"2020 (production)",,
2020s,2020er,"Anni 2020"
2021,2021,
"2021 (production)",,
2022,2022,
"2022 (production)",,
2023,2023,
"2023 (production)",,
2024,2024,
"2024 (production)",,
2025,2025,
"2025 (production)",,
2026,2026,
"2026 (production)",,
2027,2027,
2028,2028,
2029,2029,
203-R,,
2030,2030,
2030s,2030er,
2031,2031,
2032,2032,
2033,2033,
2034,2034,
2035,2035,
2036,2036,
2037,2037,
2038,2038,
2039,2039,
2040,2040,
2040s,2040er,
2041,2041,
2042,2042,
2043,2043,
2044,2044,
2045,2045,
2046,2046,
2047,2047,
2048,2048,
2049,2049,
2050,2050,
2050s,2050er,"Anni 2050"
2051,2051,
2052,2052,
2053,2053,
2054,2054,
2055,2055,
2056,2056,
2057,2057,
2058,2058,
2059,2059,
2060,2060,
2060s,2060er,"Anni 2060"
2061,2061,
2062,2062,
2063,2063,2063
2064,2064,
2065,2065,
2066,2066,
2067,2067,
2068,2068,
2069,2069,
2070,2070,
2070s,2070er,
2071,2071,
2072,2072,
2073,2073,
2074,2074,
2075,2075,
2076,2076,
2077,2077,
2078,2078,
2079,2079,
208,,
2080,2080,
2080s,2080er,
2081,2081,2081
2082,2082,
2083,2083,
2084,2084,
2085,2085,
2086,2086,
2087,2087,
2088,2088,2088
2089,2089,
2090,2090,
2090s,2090er,
2091,2091,
2092,2092,
2093,2093,
2094,2094,
2095,2095,
2096,2096,
2097,2097,
2098,2098,
2099,2099,
"20 April","20. April","20 aprile"
"20 August","20. August","20 agosto"
"20 December","20. Dezember","20 dicembre"
"20 February","20. Februar","20 febbraio"
"20 January","20. Januar","20 gennaio"
"20 July","20. Juli","20 luglio"
"20 June","20. Juni","20 giugno"
"20 March","20. März","20 marzo"
"20 May","20. Mai","20 maggio"
"20 November","20. November","20 novembre"
"20 October","20. Oktober","20 ottobre"
"20 September","20. September","20 settembre"
"20 million years ago",,
"20th Century Fox",,
"20th Century Fox Scoring Stage",,
"20th Century Fox Studios",,
"20th anniversary",,
"20th century","20. Jahrhundert","XX secolo"
21,,
2100,2100,2100
2100s,2100er,"Anni 2100"
2101,2101,2101
2102,2102,2102
2103,2103,2103
2104,2104,2104
2105,2105,2105
2106,2106,2106
2107,2107,2107
2108,2108,2108
2109,2109,2109
2110,2110,2110
2110s,2110er,"Anni 2110"
2111,2111,2111
2112,2112,2112
2113,2113,2113
2114,2114,2114
2115,2115,2115
2116,2116,2116
2117,2117,2117
2118,2118,2118
2119,2119,2119
2120,2120,2120
2120s,2120er,"Anni 2120"
2121,2121,2121
2122,2122,2122
2123,2123,2123
2124,2124,2124
2125,2125,2125
2126,2126,2126
2127,2127,2127
2128,2128,2128
2129,2129,2129
2130,2130,2130
2130s,2130er,"Anni 2130"
2131,2131,2131
2132,2132,2132
2133,2133,2133
2134,2134,2134
2135,2135,2135
2136,2136,2136
2137,2137,2137
2138,2138,2138
2139,2139,2139
2140,2140,2140
2140s,2140er,"Anni 2140"
2141,2141,2141
2142,2142,2142
2143,2143,2143
2144,2144,2144
2145,2145,2145
2146,2146,2146
2147,2147,2147
2148,2148,2148
2149,2149,2149
2150,2150,
2150s,2150er,"Anni 2150"
2151,2151,2151
2152,2152,
2153,2153,
2154,2154,
2155,2155,
2156,2156,
2157,2157,
2158,2158,
2159,2159,
2160,2160,
2160s,2160er,"Anni 2160"
2161,2161,
2162,2162,
2163,2163,
2164,2164,
2165,2165,
2166,2166,
2167,2167,2167
2168,2168,
2169,2169,
2170,2170,
2170s,2170er,
2171,2171,
2172,2172,
2173,2173,
2174,2174,
2175,2175,
2176,2176,
2177,2177,
2178,2178,
2179,2179,
2180,2180,
2180s,2180er,
2181,2181,
2182,2182,
2183,2183,
2184,2184,
2185,2185,
2186,2186,
2187,2187,
2188,2188,
2189,2189,
2190,2190,
2190s,2190er,
2191,2191,
2192,2192,
2193,2193,
2194,2194,
2195,2195,
2196,2196,
2197,2197,
2198,2198,
2199,2199,
"21 April","21. April","21 aprile"
"21 August","21. August","21 agosto"
"21 December","21. Dezember","21 dicembre"
"21 February","21. Februar","21 febbraio"
"21 January","21. Januar","21 gennaio"
"21 July","21. Juli","21 luglio"
"21 June","21. Juni","21 giugno"
"21 March","21. März","21 marzo"
"21 May","21. Mai","21 maggio"
"21 November","21. November","21 novembre"
"21 October","21. Oktober","21 ottobre"
"21 September","21. September","21 settembre"
"21st Street Mission",,
"21st Street Mission (Los Angeles)",,
"21st Street Mission (New York City)",,
"21st century","21. Jahrhundert","21 ° secolo"
2200,2200,
2200s,2200er,
2201,2201,
2202,2202,
2203,2203,
2204,2204,
2205,2205,
2206,2206,
2207,2207,
2208,2208,
2209,2209,
2210,2210,
2210s,2210er,
2211,2211,
2212,2212,
2213,2213,
2214,2214,
2215,2215,
2216,2216,
2217,2217,
2218,2218,
2219,2219,
"221B Baker Street",,
2220,2220,2220
2220s,2220er,"Anni 2220"
2221,2221,2221
2222,2222,2222
2223,2223,2223
2224,2224,2224
2225,2225,2225
2226,2226,2226
2227,2227,2227
2228,2228,2228
2229,2229,2229
2230,2230,
2230s,2230er,
2231,2231,
2232,2232,
2233,2233,
2234,2234,
2235,2235,
2236,2236,
2237,2237,
2238,2238,
2239,2239,
2240,2240,
2240s,2220er,"Anni 2220"
2241,2241,
2242,2242,
2243,2243,
2244,2244,
2245,2245,
2246,2246,
2247,2247,
2248,2248,
2249,2249,
2250,2250,
2250s,2250er,
2251,2251,
2252,2252,
2253,2253,
2254,2254,
2255,2255,
2256,2256,
2257,2257,
2258,2258,
2259,2259,
2260,2260,
2260s,2260er,
2261,2261,2261
2262,2262,
2263,2263,
2264,2264,
2265,2265,
2266,2266,
2267,2267,2267
2268,2268,
2269,2269,
2270,2270,
2270s,2270er,"Anni 2270"
2271,2271,
2272,2272,
2273,2273,
2274,2274,
2275,2275,
2276,2276,
2277,2277,
2278,2278,
2279,2279,
"2279 PL",,
2280,2280,2280
2280s,2280er,"Anni 2280"
2281,2281,2281
2282,2282,2282
2283,2283,2283
2284,2284,2284
2285,2285,2285
2286,2286,2286
2287,2287,2287
2288,2288,2288
2289,2289,2289
2290,2290,2290
2290s,2290er,"Anni 2290"
2291,2291,
2292,2292,
2293,2293,
2294,2294,
2295,2295,
2296,2296,
2297,2297,
2298,2298,
2299,2299,
"22 April","22. April","22 aprile"
"22 August","22. August","22 agosto"
"22 December","22. Dezember","22 dicembre"
"22 February","22. Februar","22 febbraio"
"22 January","22. Januar","22 gennaio"
"22 July","22. Juli","22 luglio"
"22 June","22. Juni","22 giugno"
"22 March","22. März","22 marzo"
"22 May","22. Mai","22 maggio"
"22 November","22. November","22 novembre"
"22 October","22. Oktober","22 ottobre"
"22 September","22. September","22 settembre"
"22nd century","22. Jahrhundert","XXII secolo"
"22nd century Risian birds",,
2300,2300,
2300s,2300er,"Anni 2300"
2301,2301,
2302,2302,
2303,2303,
2304,2304,
2305,2305,
2306,2306,
2307,2307,
2308,2308,
2309,2309,
2310,2310,
2310s,2310er,"Anni 2310"
2311,2311,
2312,2312,
2313,2313,
2314,2314,
2315,2315,
2316,2316,
2317,2317,
2318,2318,
2319,2319,
2320,2320,
2320s,2320er,"Anni 2320"
2321,2321,
2322,2322,
2323,2323,
2324,2324,
2325,2325,
2326,2326,
2327,2327,
2328,2328,
2329,2329,
2330,2330,
2330s,2330er,"Anni 2330"
2331,2331,
2332,2332,
2333,2333,
2334,2334,
2335,2335,
2336,2336,
2337,2337,
2338,2338,2338
2339,2339,
2340,2340,
2340s,2340er,"Anni 2340"
2341,2341,
2342,2342,
2343,2343,2343
2344,2344,
2345,2345,
2346,2346,
2347,2347,
2348,2348,
2349,2349,
2350,2350,
2350s,2350er,"Anni 2350"
2351,2351,
2352,2352,
2353,2353,
2354,2354,
2355,2355,
2356,2356,
2357,2357,
2358,2358,
2359,2359,
2360,2360,
2360s,2360er,"Anni 2360"
2361,2361,
2362,2362,
2363,2363,
2364,2364,2364
2365,2365,2365
2366,2366,
2367,2367,
2368,2368,
2369,2369,2369
2370,2370,2370
2370s,2370er,"Anni 2370"
2371,2371,2371
2372,2372,
2373,2373,
2374,2374,
2375,2375,
2376,2376,
2377,2377,2377
2378,2378,
2379,2379,
2380,2380,
2380s,2380er,
2381,2381,
2382,,
2383,,
2384,2384,
2385,,
2386,,
2387,2387,
2388,,
2389,2389,
2390,,
2390s,2390er,
2391,,
2392,,
2393,,
2394,2394,
2395,2395,
2396,,
2397,,
2398,,
2399,,
"23 April","23. April","23 aprile"
"23 August","23. August","23 agosto"
"23 December","23. Dezember","23 dicembre"
"23 February","23. Februar","23 febbraio"
"23 January","23. Januar","23 gennaio"
"23 July","23. Juli","23 luglio"
"23 June","23. Juni","23 giugno"
"23 March","23. März","23 marzo"
"23 May","23. Mai","23 maggio"
"23 November","23. November","23 novembre"
"23 October","23. Oktober","23 ottobre"
"23 September","23. September","23 settembre"
"23rd Jem'Hadar Division","23. Jem'Hadar-Division",
"23rd century","23. Jahrhundert","XXIII secolo"
"24-hour clock",,
2400,2400,
2400s,2400er,
2401,2401,
2402,,
2403,2403,
2404,,
2405,2405,
2406,2406,
2407,2407,
2408,2408,
2409,2409,
2410,2410,
2410s,,
2411,,
2412,,
2415,,
2420,,
2420s,,
2422,,
2423,,
2430s,,
2431,,
2436,,
2440,,
2440s,,
2446,,
2450,,
2450s,,
2460s,,
2461,,
"2466 PM",,
2468,,
247-Baker,,
2470s,,
2472,,
"247th element","Element 247",
2480s,,
2490s,,
"24 April","24. April","24 aprile"
"24 August","24. August","24 agosto"
"24 December","24. Dezember","24 dicembre"
"24 February","24. Februar","24 febbraio"
"24 January","24. Januar","24 gennaio"
"24 July","24. Juli","24 luglio"
"24 June","24. Juni","24 giugno"
"24 March","24. März","24 marzo"
"24 May","24. Mai","24 maggio"
"24 November","24. November","24 novembre"
"24 October","24. Oktober","24 ottobre"
"24 September","24. September","24 settembre"
"24th century","24. Jahrhundert","XXIV secolo"
"24th commander 001",,
"25,000 years ago",,
2500s,,
2507,,
2510s,,
2520s,,
2530s,,
2540s,,
2550s,,
2553,,
2554,,
"255 Grand",,
2560s,,
2562,,
2568,,
2569,,
2570s,,
2573,,
2580s,,
2590s,,
"25 April","25. April","25 aprile"
"25 August","25. August","25 agosto"
"25 December","25. Dezember","25 dicembre"
"25 February","25. Februar","25 febbraio"
"25 January","25. Januar","25 gennaio"
"25 July","25. Juli","25 luglio"
"25 June","25. Juni","25 giugno"
"25 March","25. März","25 marzo"
"25 May","25. Mai","25 maggio"
"25 November","25. November","25 novembre"
"25 October","25. Oktober","25 ottobre"
"25 September","25. September","25 settembre"
"25th anniversary",,
"25th century","25. Jahrhundert",
2600s,,
2610s,,
2620s,,
2630s,,
2640s,,
2650s,,
2660s,,
2664,,
2670s,,
2671,,
2676,,
2680s,,
2690s,,
"26 April","26. April","26 aprile"
"26 August","26. August","26 agosto"
"26 December","26. Dezember","26 dicembre"
"26 February","26. Februar","26 febbraio"
"26 January","26. Januar","26 gennaio"
"26 July","26. Juli","26 luglio"
"26 June","26. Juni","26 giugno"
"26 March","26. März","26 marzo"
"26 May","26. Mai","26 maggio"
"26 November","26. November","26 novembre"
"26 October","26. Oktober","26 ottobre"
"26 September","26. September","26 settembre"
"26th century","26. Jahrhundert",
"26th century time-traveler 001",,
2700s,,
2710s,,
2720s,,
2730s,,
2740s,,
2750s,,
2758,,
2760s,,
2769,,
2770s,,
2780s,,
2790s,,
"27 April","27. April","27 aprile"
"27 August","27. August","27 agosto"
"27 December","27. Dezember","27 dicembre"
"27 February","27. Februar","27 febbraio"
"27 January","27. Januar","27 gennaio"
"27 July","27. Juli","27 luglio"
"27 June","27. Juni","27 giugno"
"27 March","27. März","27 marzo"
"27 May","27. Mai","27 maggio"
"27 November","27. November","27 novembre"
"27 October","27. Oktober","27 ottobre"
"27 September","27. September","27 settembre"
"27th century","27. Jahrhundert","XXVII secolo"
2800s,,
2810s,,
2820s,,
2830s,,
2840s,,
2850s,,
2860s,,
2870s,,
2880s,,
2890s,,
"28 April","28. April","28 aprile"
"28 August","28. August","28 agosto"
"28 December","28. Dezember","28 dicembre"
"28 February","28. Februar","28 febbraio"
"28 January","28. Januar","28 gennaio"
"28 July","28. Juli","28 luglio"
"28 June","28. Juni","28 giugno"
"28 March","28. März","28 marzo"
"28 May","28. Mai","28 maggio"
"28 November","28. November","28 novembre"
"28 October","28. Oktober","28 ottobre"
"28 September","28. September","28 settembre"
"28th century","28. Jahrhundert","XXVIII secolo"
2900s,,
2910s,,
2920s,,
2930s,,
2940s,,
2950s,,
2954,,
2958,,
2960s,,
2970s,,
2975,,
2980s,,
2990s,,
2991,,
"29 April","29. April","29 aprile"
"29 August","29. August","29 agosto"
"29 December","29. Dezember","29 dicembre"
"29 February",,
"29 January","29. Januar","29 gennaio"
"29 July","29. Juli","29 luglio"
"29 June","29. Juni","29 giugno"
"29 March","29. März","29 marzo"
"29 May","29. Mai","29 maggio"
"29 November","29. November","29 novembre"
"29 October","29. Oktober","29 ottobre"
"29 September","29. September","29 settembre"
"29th century","29. Jahrhundert","XXIX secolo"
"2B Studio",,
2Cal,,
"2K12 Kub",,
